run,T,horizon,p,h_estimator,file,alpha,seed,H_theory,H_fit,H_whittle,d,n_train,n_test,n_fc,acf_dev,mse_norros_f,mse_linearP_f,mse_farima_f,mse_persist,mase_norros_f,mase_linearP_f,mase_farima_f,mase_persist
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.04_s01.csv,1.04,1,0.98,0.9600000000000004,0.9989957487766645,0.4710764324452415,5040,1440,1392,0.1970079848855103,9524801942975.248,9530807468351.195,9527439781347.69,11277032555978.736,0.9236303035500021,0.9241796122335284,0.9238466952603209,0.9998672613913018
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.04_s02.csv,1.04,2,0.98,0.9700000000000004,0.9762716743690929,0.44322521316099983,5040,1440,1392,0.2386922076507202,9328140829348.346,9306030166562.08,9263248468606.078,10833409489769.83,0.9402810410428484,0.9396100513733966,0.936681546566794,0.9997481680743595
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.04_s03.csv,1.04,3,0.98,0.9600000000000004,0.9945122370615928,0.4776434386648069,5040,1440,1392,0.18194851886546082,7357545785862.606,7311466367214.586,7343585222408.972,8944846641712.54,0.9093231844370911,0.9044378229613457,0.9071415596129379,0.9995228171840808
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.04_s04.csv,1.04,4,0.98,0.9600000000000004,0.9601297668685159,0.4546482100832182,5040,1440,1392,0.22652759497699548,8461910353987.809,8434097615299.1455,8416228526306.812,9787072037008.861,0.9242794352851492,0.922179105369914,0.9214638948682559,0.9999093175486465
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.04_s05.csv,1.04,5,0.98,0.9850000000000004,0.9986010125069229,0.4718743751317366,5040,1440,1392,0.3221578882038072,8111294492295.694,8115313989242.4795,8097323782243.997,9433441905609.578,0.9335926247132963,0.9357342841626313,0.9330420984492478,1.0015596247229692
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.04_s06.csv,1.04,6,0.98,0.9900000000000004,0.9989955709023228,0.4723243573757342,5040,1440,1392,0.3679573896955908,8051184899117.21,8015724119557.982,8003954030343.173,9352515647333.9,0.9245672071565496,0.9225934083619773,0.9217676057363292,1.0000309705811241
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.04_s07.csv,1.04,7,0.98,0.9650000000000004,0.9830277471771112,0.4607130149212322,5040,1440,1392,0.28493557023970056,9279664245228.445,9231282374605.836,9240843851039.629,11059624636076.115,0.91072135524908,0.9078856334226364,0.9079499936914269,0.9995432596094517
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.04_s08.csv,1.04,8,0.98,0.9550000000000004,0.9394232380947929,-0.42076219792206393,5040,1440,1392,0.33031670026084703,10146324749578.814,10123764612022.367,10642023892369.072,12023684002183.186,0.9110104999563879,0.9110718358402367,0.9332250149609116,0.9995885850641704
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.04_s09.csv,1.04,9,0.98,0.9700000000000004,0.9660043320173523,0.45558510246480877,5040,1440,1392,0.32321945215797426,8296422235349.659,8294133409604.311,8286948651928.408,9692614493287.4,0.9270569915600047,0.9276931685255311,0.9271735586958502,1.0008996082547674
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.24_s00.csv,1.24,0,0.88,0.8800000000000003,0.8973589152908962,0.3748463258348842,5040,1440,1392,0.08704977605830994,12990447738915.658,12963426212576.541,12947725954612.438,16178793288391.752,0.894853812426273,0.8939479549506127,0.8935855335553509,0.9996675008333958
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.24_s01.csv,1.24,1,0.88,0.8900000000000003,0.9167357994797196,0.35620626676646533,5040,1440,1392,0.08375918877724542,12843322372674.598,12839993171327.172,12877580460097.404,16941431250731.336,0.8631489469424755,0.8637609334405733,0.8647701150353133,0.9999271135193666
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.24_s02.csv,1.24,2,0.88,0.8700000000000003,0.9067778498060883,0.3545937288003603,5040,1440,1392,0.08404282336807406,13622087993560.768,13591758515165.414,13561821325356.33,16825825580113.535,0.8911711379163149,0.8914002130139032,0.8908440306489345,0.9996714733445384
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.24_s03.csv,1.24,3,0.88,0.8650000000000003,0.8529973209490916,0.3635430908959839,5040,1440,1392,0.07521628181674672,14105391851913.482,14151054156720.127,14131220385025.45,18118437808335.457,0.8809601348525463,0.8833494486998126,0.8826167930709529,1.000395847863784
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.24_s04.csv,1.24,4,0.88,0.8850000000000003,0.8837208892850373,0.3651004522830265,5040,1440,1392,0.08408635715331753,13881477291042.938,13861080799486.006,13846540422125.207,17490797677147.11,0.8992400983536017,0.89859656496798,0.898368110851137,0.999427521100859
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.24_s05.csv,1.24,5,0.88,0.8750000000000003,0.8424903234901214,0.35534665314959674,5040,1440,1392,0.12664727621964805,13640663948900.0,13651106460252.018,13661124888325.281,17343292882122.34,0.8769625122389423,0.8781220490539988,0.8793272422658617,1.0006081049364806
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.24_s06.csv,1.24,6,0.88,0.8950000000000004,0.8450543625550072,0.36818560320640886,5040,1440,1392,0.15744904704870377,14069976977513.469,14014024610049.945,13979782406896.361,17569920227088.193,0.8889675902361598,0.8873022002622363,0.8868177166067585,0.9998041746065592
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.24_s07.csv,1.24,7,0.88,0.8700000000000003,0.8451451365737153,0.3777319761440636,5040,1440,1392,0.09164733359548982,13264246440573.078,13238654778347.31,13246772428301.195,17185839447508.012,0.868070394794996,0.8670829869975514,0.8673975122111214,0.9994342106283179
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.24_s08.csv,1.24,8,0.88,0.8900000000000003,0.8687603639611272,0.37024286154539604,5040,1440,1392,0.1494849230189506,12433477908304.422,12405701992076.465,12425018087324.713,15811592273489.77,0.8864245765564097,0.8861083649546333,0.8868677140227781,1.0013631268737024
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.24_s09.csv,1.24,9,0.88,0.8850000000000003,0.8897625658929036,0.37712144957103627,5040,1440,1392,0.13312382382097765,12992640848863.64,12954294886849.72,12971073968953.639,16742077762184.08,0.8921807527039827,0.8907393190829717,0.8909934768040966,0.9996739748988391
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.44_s00.csv,1.44,0,0.78,0.7950000000000003,0.7859951419606179,0.26447712303391324,5040,1440,1392,0.04078657921685455,6529240125366.109,6531267340728.052,6540079907515.9795,9238824185857.889,0.8345623994963841,0.8349660093939467,0.8355698148935572,0.9994697761807613
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.44_s01.csv,1.44,1,0.78,0.7800000000000002,0.7303443579408336,0.25243032577573044,5040,1440,1392,0.05945686835433517,6829334057727.457,6822441569706.644,6822345428555.515,9812278920438.764,0.8348555507224504,0.8348883698439252,0.8346482510206614,0.9994302024526331
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.44_s02.csv,1.44,2,0.78,0.7900000000000003,0.7591365564066291,0.29515384018240093,5040,1440,1392,0.030808024500100034,6142574462847.134,6125035861745.509,6132562786882.147,8582193662941.049,0.8437898962445969,0.8430682786151512,0.8435262478624366,0.9996063289104354
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.44_s03.csv,1.44,3,0.78,0.7800000000000002,0.7980098683231748,0.25114980377232354,5040,1440,1392,0.044479612465744306,6874822331965.491,6870957007412.104,6866719642260.5,9739625997459.705,0.8346789756197577,0.8340379210443434,0.834296488428299,1.001300910757191
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.44_s04.csv,1.44,4,0.78,0.7750000000000002,0.7771099956443108,0.26543231393130917,5040,1440,1392,0.03237328088045488,6967717000836.874,6963178405130.92,6955234203514.004,9711165639701.395,0.8389315153892806,0.8385524747819222,0.8381610775034816,0.9995290254201563
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.44_s05.csv,1.44,5,0.78,0.8050000000000003,0.7696429910886742,0.295134399146491,5040,1440,1392,0.05113417298604486,6682050934681.677,6672293699260.915,6673010105876.85,9416593248247.254,0.8449492482715572,0.8439518019478639,0.8437900904155705,0.9994526528371657
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.44_s06.csv,1.44,6,0.78,0.7950000000000003,0.8376398582606228,0.2948606444695248,5040,1440,1392,0.01738181662850477,5964333441692.59,5944820974034.122,5950020813948.526,8398443640468.9795,0.8377757163077076,0.8363473939407404,0.8366139553261911,0.9998526955593681
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.44_s07.csv,1.44,7,0.78,0.7850000000000003,0.782633164291704,0.27445176647175346,5040,1440,1392,0.03559512074188903,6866932186625.5,6866585317947.527,6859163214964.211,9458332841680.297,0.8388423709084775,0.8393612825703073,0.8389098843393137,0.9995992298389553
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.44_s08.csv,1.44,8,0.78,0.7900000000000003,0.7794992828894476,0.2887041376046151,5040,1440,1392,0.04987379886642579,6777854064789.319,6766193032956.68,6765939774175.741,9501031213224.273,0.8445182620391091,0.8440110918850846,0.8439784095305356,0.9994725852554956
2026-08-13 13:06:37,48,1,1,fit,onoff_a1.44_s09.csv,1.44,9,0.78,0.7900000000000003,0.8041448443165342,0.28661924142458967,5040,1440,1392,0.017378111291139198,6458851769822.684,6445923969594.61,6443574683174.235,9185383258940.742,0.8449523792051299,0.8438484547628972,0.8437112981087171,0.9996280265068891
